TreeDepth,PID,Process,VadNodeCount,Error
0,4,System,6,
0,108,Registry,61,
0,360,smss.exe,16,
0,476,csrss.exe,148,
0,560,wininit.exe,60,
0,568,csrss.exe,110,
0,656,winlogon.exe,88,
0,704,services.exe,61,
0,724,lsass.exe,164,
0,844,svchost.exe,149,
0,872,fontdrvhost.ex,36,
0,880,fontdrvhost.ex,38,
0,960,svchost.exe,83,
0,1016,svchost.exe,68,
0,556,dwm.exe,244,
0,1064,svchost.exe,85,
0,1196,svchost.exe,81,
0,1212,svchost.exe,70,
0,1204,svchost.exe,51,
0,1316,svchost.exe,91,
0,1368,svchost.exe,50,
0,1396,svchost.exe,71,
0,1488,svchost.exe,97,
0,1524,svchost.exe,53,
0,1532,svchost.exe,103,
0,1540,svchost.exe,90,
0,1548,svchost.exe,66,
0,1672,svchost.exe,111,
0,1692,svchost.exe,68,
0,1752,svchost.exe,68,
0,1760,svchost.exe,64,
0,1804,svchost.exe,86,
0,1844,MemCompression,20,
0,1908,svchost.exe,51,
0,1984,svchost.exe,95,
0,1480,svchost.exe,75,
0,1608,svchost.exe,85,
0,1740,svchost.exe,80,
0,2084,svchost.exe,78,
0,2204,svchost.exe,69,
0,2244,spoolsv.exe,122,
0,2272,svchost.exe,73,
0,2368,svchost.exe,113,
0,2560,svchost.exe,76,
0,2668,svchost.exe,76,
0,2756,svchost.exe,118,
0,2764,svchost.exe,199,
0,2772,svchost.exe,172,
0,2784,svchost.exe,194,
0,2816,svchost.exe,51,
0,2892,svchost.exe,116,
0,2904,vmtoolsd.exe,150,
0,2936,VGAuthService.,83,
0,2944,MsMpEng.exe,1854,
0,2988,vm3dservice.ex,58,
0,1824,svchost.exe,53,
0,2016,MpDefenderCore,117,
0,3164,svchost.exe,59,
0,3220,svchost.exe,86,
0,3264,vm3dservice.ex,72,
0,3272,svchost.exe,100,
0,3752,svchost.exe,66,
0,1516,dllhost.exe,101,
0,3588,msdtc.exe,95,
0,3928,dllhost.exe,125,
0,2888,SearchIndexer.,287,
0,820,WmiPrvSE.exe,172,
0,4956,sihost.exe,131,
0,5040,svchost.exe,126,
0,5080,svchost.exe,169,
0,2860,taskhostw.exe,187,
0,4336,MicrosoftEdgeU,95,
0,4328,svchost.exe,67,
0,4368,userinit.exe,0,
0,4392,ctfmon.exe,107,
0,4436,explorer.exe,490,
0,4508,svchost.exe,85,
0,4576,svchost.exe,76,
0,4772,svchost.exe,72,
0,5144,svchost.exe,128,
0,5216,svchost.exe,71,
0,5268,svchost.exe,81,
0,5380,svchost.exe,114,
0,5724,StartMenuExper,216,
0,5876,RuntimeBroker.,137,
0,5884,svchost.exe,87,
0,6132,SearchApp.exe,712,
0,6264,NisSrv.exe,67,
0,6432,RuntimeBroker.,148,
0,6656,svchost.exe,0,
0,6984,svchost.exe,75,
0,7156,SkypeApp.exe,514,
0,6700,SkypeBackgroun,63,
0,4332,SecurityHealth,70,
0,1240,vmtoolsd.exe,132,
0,6536,OneDrive.exe,342,
0,2412,SecurityHealth,107,
0,1168,msedge.exe,328,
0,6720,msedge.exe,74,
0,3012,msedge.exe,114,
0,3008,msedge.exe,126,
0,7192,msedge.exe,84,
0,7228,elevation_serv,64,
0,7788,RuntimeBroker.,117,
0,8100,svchost.exe,69,
0,1632,Taskmgr.exe,220,
0,1192,ShellExperienc,196,
0,3960,RuntimeBroker.,104,
0,5104,svchost.exe,119,
0,8248,RuntimeBroker.,89,
0,8968,ApplicationFra,141,
0,8992,WinStore.App.e,197,
0,9120,RuntimeBroker.,66,
0,2292,svchost.exe,133,
0,7312,svchost.exe,87,
0,2680,SgrmBroker.exe,53,
0,7452,svchost.exe,100,
0,8184,svchost.exe,108,
0,5896,powershell.exe,0,
0,7712,svchost.exe,0,
0,3792,svchost.exe,92,
0,3540,Microsoft.Phot,181,
0,2356,svchost.exe,477,
0,5864,RuntimeBroker.,108,
0,6296,svchost.exe,64,
0,1652,SearchProtocol,97,
0,3204,SearchFilterHo,60,
0,7268,MoUsoCoreWorke,131,
0,2264,TrustedInstall,65,
0,5276,TiWorker.exe,436,
0,7828,svchost.exe,62,

