TreeDepth,PID,Process,VadNodeCount,Error
0,4,System,6,
0,108,Registry,70,
0,364,smss.exe,16,
0,492,csrss.exe,153,
0,576,wininit.exe,60,
0,600,csrss.exe,122,
0,656,winlogon.exe,95,
0,736,services.exe,60,
0,756,lsass.exe,155,
0,884,svchost.exe,166,
0,908,fontdrvhost.ex,46,
0,912,fontdrvhost.ex,49,
0,1012,svchost.exe,94,
0,440,svchost.exe,77,
0,828,dwm.exe,292,
0,768,LogonUI.exe,0,
0,1040,svchost.exe,85,
0,1088,svchost.exe,74,
0,1096,svchost.exe,53,
0,1164,svchost.exe,70,
0,1236,svchost.exe,91,
0,1272,svchost.exe,80,
0,1392,svchost.exe,57,
0,1448,svchost.exe,74,
0,1536,svchost.exe,102,
0,1544,svchost.exe,55,
0,1552,svchost.exe,91,
0,1560,svchost.exe,67,
0,1632,svchost.exe,109,
0,1712,svchost.exe,69,
0,1728,svchost.exe,98,
0,1788,svchost.exe,69,
0,1796,svchost.exe,65,
0,1840,MemCompression,238,
0,1920,svchost.exe,89,
0,2036,svchost.exe,96,
0,2052,svchost.exe,76,
0,2164,svchost.exe,77,
0,2172,svchost.exe,62,
0,2180,svchost.exe,81,
0,2248,svchost.exe,53,
0,2276,svchost.exe,78,
0,2388,spoolsv.exe,123,
0,2424,svchost.exe,114,
0,2520,svchost.exe,74,
0,2620,svchost.exe,76,
0,2648,svchost.exe,77,
0,2716,svchost.exe,120,
0,2724,svchost.exe,194,
0,2732,svchost.exe,137,
0,2740,svchost.exe,206,
0,2824,svchost.exe,53,
0,2864,svchost.exe,118,
0,2940,MsMpEng.exe,2124,
0,2948,MpDefenderCore,125,
0,3020,svchost.exe,55,
0,3112,svchost.exe,101,
0,3120,vmtoolsd.exe,148,
0,3192,VGAuthService.,83,
0,3200,vm3dservice.ex,58,
0,3236,svchost.exe,86,
0,3472,vm3dservice.ex,72,
0,3620,svchost.exe,60,
0,3760,svchost.exe,67,
0,2752,SearchIndexer.,280,
0,2156,dllhost.exe,129,
0,4136,dllhost.exe,101,
0,4308,msdtc.exe,95,
0,4336,sihost.exe,140,
0,4376,svchost.exe,131,
0,4416,svchost.exe,172,
0,4476,taskhostw.exe,222,
0,4632,svchost.exe,68,
0,4724,svchost.exe,94,
0,4784,WmiPrvSE.exe,134,
0,4792,MicrosoftEdgeU,96,
0,4900,ctfmon.exe,109,
0,5024,AggregatorHost,49,
0,5068,userinit.exe,0,
0,4124,explorer.exe,613,
0,3944,svchost.exe,128,
0,1744,svchost.exe,77,
0,2880,svchost.exe,99,
0,5140,svchost.exe,0,
0,5684,svchost.exe,72,
0,5804,svchost.exe,81,
0,4088,svchost.exe,108,
0,5292,svchost.exe,75,
0,5608,SearchApp.exe,291,
0,5864,StartMenuExper,231,
0,504,NisSrv.exe,70,
0,1928,RuntimeBroker.,147,
0,6356,SearchApp.exe,693,
0,6452,RuntimeBroker.,166,
0,6604,LockApp.exe,224,
0,6720,RuntimeBroker.,174,
0,6824,svchost.exe,130,
0,6908,svchost.exe,93,
0,6924,MoUsoCoreWorke,162,
0,7096,msedgewebview2,314,
0,2784,svchost.exe,64,
0,2508,msedgewebview2,71,
0,7532,msedgewebview2,122,
0,7556,msedgewebview2,169,
0,7604,msedgewebview2,85,
0,7628,msedgewebview2,151,
0,1208,svchost.exe,114,
0,4320,UserOOBEBroker,76,
0,8348,ShellExperienc,211,
0,8788,RuntimeBroker.,95,
0,4160,SecurityHealth,71,
0,6644,vmtoolsd.exe,134,
0,4044,SecurityHealth,108,
0,5040,OneDrive.exe,0,
0,6316,svchost.exe,73,
0,8836,svchost.exe,81,
0,2088,RuntimeBroker.,109,
0,8176,Taskmgr.exe,233,
0,1748,svchost.exe,134,
0,8196,svchost.exe,85,
0,8156,svchost.exe,100,
0,6932,svchost.exe,196,
0,4732,PhoneExperienc,722,
0,7472,svchost.exe,123,
0,5612,svchost.exe,0,
0,6540,MusNotifyIcon.,99,
0,5136,HxTsr.exe,0,
0,5892,powershell.exe,0,
0,8364,HxTsr.exe,0,
0,5560,HxTsr.exe,0,
0,8588,HxTsr.exe,0,
0,3328,HxTsr.exe,0,
0,2576,OneDrive.exe,341,
0,2448,OneDrive.Sync.,224,
0,1940,M365Copilot.ex,402,
0,2040,RuntimeBroker.,97,
0,4076,msedgewebview2,305,
0,6116,msedgewebview2,77,
0,2644,msedgewebview2,151,
0,6104,msedgewebview2,127,
0,6848,msedgewebview2,87,
0,4740,msedgewebview2,198,
0,5260,svchost.exe,471,
0,9052,HxTsr.exe,0,
0,2996,TrustedInstall,63,
0,6336,TiWorker.exe,432,
0,1424,svchost.exe,76,
0,8520,svchost.exe,65,
0,5572,SearchProtocol,94,
0,4624,SearchFilterHo,61,
0,7004,powershell.exe,256,
0,988,conhost.exe,69,
0,5576,HxTsr.exe,0,
0,9104,backgroundTask,174,
0,5312,backgroundTask,159,
0,4888,RuntimeBroker.,91,
0,5460,RuntimeBroker.,162,
0,5456,powershell.exe,0,

