TreeDepth,PID,Process,VadNodeCount,Error
0,4,System,6,
0,108,Registry,68,
0,368,smss.exe,16,
0,480,csrss.exe,149,
0,568,wininit.exe,60,
0,608,csrss.exe,103,
0,676,winlogon.exe,91,
0,716,services.exe,62,
0,744,WerFault.exe,0,
0,768,lsass.exe,154,
0,896,svchost.exe,153,
0,924,fontdrvhost.ex,46,
0,932,fontdrvhost.ex,48,
0,1016,svchost.exe,90,
0,440,svchost.exe,79,
0,332,dwm.exe,245,
0,788,svchost.exe,74,
0,1140,svchost.exe,103,
0,1212,svchost.exe,107,
0,1248,svchost.exe,76,
0,1272,svchost.exe,53,
0,1276,svchost.exe,72,
0,1332,svchost.exe,71,
0,1396,svchost.exe,91,
0,1456,svchost.exe,80,
0,1524,svchost.exe,55,
0,1592,svchost.exe,70,
0,1628,svchost.exe,55,
0,1636,svchost.exe,89,
0,1644,svchost.exe,69,
0,1716,svchost.exe,69,
0,1764,svchost.exe,69,
0,1772,svchost.exe,71,
0,1808,MemCompression,0,
0,1900,svchost.exe,98,
0,1940,svchost.exe,88,
0,2036,svchost.exe,84,
0,2044,svchost.exe,75,
0,464,svchost.exe,62,
0,1352,svchost.exe,81,
0,2120,svchost.exe,79,
0,2220,spoolsv.exe,124,
0,2260,svchost.exe,113,
0,2296,svchost.exe,69,
0,2332,svchost.exe,76,
0,2432,svchost.exe,76,
0,2544,svchost.exe,53,
0,2628,svchost.exe,60,
0,2708,svchost.exe,102,
0,2844,svchost.exe,197,
0,2856,svchost.exe,135,
0,2864,svchost.exe,128,
0,2880,svchost.exe,195,
0,2924,svchost.exe,53,
0,2988,svchost.exe,125,
0,3068,VGAuthService.,83,
0,2452,svchost.exe,54,
0,836,MpDefenderCore,119,
0,3032,MsMpEng.exe,1908,
0,3084,svchost.exe,101,
0,3132,svchost.exe,86,
0,3176,vmtoolsd.exe,149,
0,3204,vm3dservice.ex,58,
0,3452,vm3dservice.ex,72,
0,3596,SearchIndexer.,280,
0,3680,svchost.exe,67,
0,1072,svchost.exe,78,
0,1300,dllhost.exe,105,
0,3216,dllhost.exe,122,
0,4120,svchost.exe,72,
0,4152,svchost.exe,81,
0,4188,msdtc.exe,98,
0,4240,AggregatorHost,45,
0,4984,WmiPrvSE.exe,122,
0,4504,NisSrv.exe,69,
0,4628,WmiPrvSE.exe,100,
0,4692,svchost.exe,113,
0,4760,svchost.exe,51,
0,4748,svchost.exe,106,
0,4892,svchost.exe,73,
0,3876,sihost.exe,140,
0,1780,svchost.exe,138,
0,1916,svchost.exe,184,
0,2128,taskhostw.exe,216,
0,3004,MicrosoftEdgeU,98,
0,2732,svchost.exe,71,
0,5152,svchost.exe,87,
0,5220,svchost.exe,131,
0,5276,userinit.exe,0,
0,5324,svchost.exe,79,
0,5348,explorer.exe,543,
0,5392,ctfmon.exe,111,
0,5692,svchost.exe,95,
0,5984,StartMenuExper,227,
0,1148,RuntimeBroker.,154,
0,5044,SearchApp.exe,595,
0,6196,svchost.exe,84,
0,6292,RuntimeBroker.,173,
0,7164,RuntimeBroker.,102,
0,2948,svchost.exe,75,
0,4256,Taskmgr.exe,216,
0,2796,SecurityHealth,73,
0,7060,SecurityHealth,107,
0,7068,vmtoolsd.exe,133,
0,2696,OneDrive.exe,356,
0,4464,m365copilot_au,76,
0,4916,svchost.exe,80,
0,7216,svchost.exe,57,
0,7636,svchost.exe,154,
0,7728,svchost.exe,94,
0,7960,ShellExperienc,201,
0,8060,RuntimeBroker.,118,
0,3948,svchost.exe,131,
0,7360,svchost.exe,85,
0,3328,svchost.exe,100,
0,7888,svchost.exe,189,
0,7420,PhoneExperienc,722,
0,2172,svchost.exe,0,
0,6032,OneDrive.Sync.,247,
0,8128,SearchApp.exe,263,
0,1120,msedgewebview2,340,
0,5544,msedgewebview2,80,
0,7968,msedgewebview2,123,
0,1060,msedgewebview2,146,
0,4012,msedgewebview2,84,
0,7232,msedgewebview2,144,
0,6736,HxTsr.exe,0,
0,1084,backgroundTask,190,
0,8188,SearchProtocol,98,
0,2312,SearchFilterHo,65,
0,6096,powershell.exe,0,

