TreeDepth,PID,Process,VadNodeCount,Error
0,4,System,5,
0,124,Registry,120,
0,456,smss.exe,23,
0,636,csrss.exe,165,
0,716,csrss.exe,128,
0,748,wininit.exe,65,
0,788,winlogon.exe,90,
0,872,services.exe,63,
0,896,lsass.exe,157,
0,8,svchost.exe,173,
0,440,fontdrvhost.ex,49,
0,428,fontdrvhost.ex,47,
0,920,svchost.exe,89,
0,1040,svchost.exe,82,
0,1104,dwm.exe,277,
0,1200,svchost.exe,210,
0,1228,svchost.exe,86,
0,1432,svchost.exe,82,
0,1488,svchost.exe,79,
0,1516,svchost.exe,93,
0,1652,svchost.exe,72,
0,1660,svchost.exe,53,
0,1668,svchost.exe,76,
0,1676,svchost.exe,53,
0,1684,svchost.exe,69,
0,1780,svchost.exe,56,
0,1788,svchost.exe,95,
0,1796,svchost.exe,71,
0,1888,svchost.exe,120,
0,1936,svchost.exe,75,
0,1972,svchost.exe,73,
0,1980,svchost.exe,78,
0,2016,MemCompression,1280,
0,2116,svchost.exe,98,
0,2152,svchost.exe,53,
0,2196,svchost.exe,73,
0,2236,svchost.exe,62,
0,2244,svchost.exe,78,
0,2252,svchost.exe,78,
0,2432,svchost.exe,78,
0,2488,svchost.exe,82,
0,2556,svchost.exe,84,
0,2688,spoolsv.exe,130,
0,2700,svchost.exe,74,
0,2896,svchost.exe,117,
0,3028,svchost.exe,77,
0,2184,svchost.exe,184,
0,2312,svchost.exe,108,
0,2460,svchost.exe,58,
0,2464,svchost.exe,122,
0,3080,svchost.exe,53,
0,3140,svchost.exe,118,
0,3156,vmtoolsd.exe,169,
0,3168,svchost.exe,111,
0,3320,vm3dservice.ex,73,
0,3340,VGAuthService.,92,
0,3352,MsMpEng.exe,1816,
0,3376,MpDefenderCore,128,
0,3788,vm3dservice.ex,84,
0,3832,svchost.exe,89,
0,4276,dllhost.exe,115,
0,4372,msdtc.exe,109,
0,4588,WmiPrvSE.exe,150,
0,4948,svchost.exe,88,
0,5116,svchost.exe,64,
0,4188,sihost.exe,176,
0,4680,svchost.exe,128,
0,4696,svchost.exe,53,
0,4772,svchost.exe,135,
0,4832,taskhostw.exe,199,
0,4204,svchost.exe,94,
0,5156,svchost.exe,0,
0,5316,svchost.exe,123,
0,5520,userinit.exe,0,
0,5572,explorer.exe,610,
0,5636,AggregatorHost,70,
0,5732,ShellHost.exe,150,
0,5784,svchost.exe,81,
0,5904,CrossDeviceRes,180,
0,6024,svchost.exe,79,
0,5476,svchost.exe,103,
0,6292,svchost.exe,76,
0,6388,svchost.exe,65,
0,6440,svchost.exe,84,
0,6892,SearchHost.exe,337,
0,7036,StartMenuExper,359,
0,7056,Widgets.exe,260,
0,3328,RuntimeBroker.,172,
0,5948,svchost.exe,115,
0,7448,WidgetService.,131,
0,7500,msedgewebview2,294,
0,7800,msedgewebview2,71,
0,7956,svchost.exe,108,
0,3052,msedgewebview2,123,
0,4084,msedgewebview2,138,
0,1448,UserOOBEBroker,77,
0,4716,ctfmon.exe,135,
0,1048,svchost.exe,94,
0,8532,msedgewebview2,74,
0,8828,msedgewebview2,187,
0,9024,NisSrv.exe,73,
0,6524,svchost.exe,93,
0,1444,svchost.exe,144,
0,2572,svchost.exe,81,
0,1156,MicrosoftEdgeU,110,
0,2620,SecurityHealth,80,
0,4136,SecurityHealth,135,
0,8200,Taskmgr.exe,491,
0,7932,vmtoolsd.exe,139,
0,6664,OneDrive.exe,348,
0,5896,SearchIndexer.,149,
0,8080,ShellExperienc,228,
0,9252,RuntimeBroker.,113,
0,9576,svchost.exe,135,
0,10120,svchost.exe,122,
0,6220,svchost.exe,152,
0,9144,svchost.exe,99,
0,4776,msedgewebview2,338,
0,1852,msedgewebview2,78,
0,2736,msedgewebview2,129,
0,2760,msedgewebview2,180,
0,10040,RuntimeBroker.,97,
0,3536,msedgewebview2,77,
0,8700,msedgewebview2,204,
0,9308,svchost.exe,0,
0,7032,FileCoAuth.exe,161,
0,3964,OneDrive.Sync.,243,
0,4476,svchost.exe,137,
0,7908,svchost.exe,73,
0,10024,svchost.exe,121,
0,244,svchost.exe,73,
0,9484,svchost.exe,79,
0,2920,svchost.exe,78,
0,3924,svchost.exe,113,
0,9324,powershell.exe,226,
0,8884,conhost.exe,75,
0,2756,svchost.exe,67,
0,5532,go-winpmem_amd,75,
0,6480,conhost.exe,75,
0,6244,SearchProtocol,111,
0,9972,backgroundTask,0,
0,151776325784008,,0,
0,8,,0,
0,0,,0,
0,3492,MoUsoCoreWorke,71,

