TreeDepth,PID,Process,VadNodeCount,Error
0,4,System,5,
0,124,Registry,84,
0,452,smss.exe,23,
0,636,csrss.exe,160,
0,716,csrss.exe,133,
0,748,wininit.exe,65,
0,788,winlogon.exe,91,
0,868,services.exe,61,
0,876,lsass.exe,157,
0,368,svchost.exe,163,
0,560,fontdrvhost.ex,47,
0,568,fontdrvhost.ex,48,
0,964,svchost.exe,89,
0,1040,svchost.exe,82,
0,1104,LogonUI.exe,0,
0,1112,dwm.exe,307,
0,1224,svchost.exe,217,
0,1296,svchost.exe,86,
0,1360,svchost.exe,54,
0,1368,svchost.exe,66,
0,1512,svchost.exe,82,
0,1540,svchost.exe,92,
0,1564,svchost.exe,69,
0,1624,svchost.exe,53,
0,1652,svchost.exe,120,
0,1700,svchost.exe,81,
0,1792,svchost.exe,52,
0,1836,svchost.exe,75,
0,1868,svchost.exe,55,
0,1876,svchost.exe,92,
0,1884,svchost.exe,71,
0,2012,svchost.exe,75,
0,2020,MemCompression,2176,
0,1308,svchost.exe,73,
0,1648,svchost.exe,71,
0,2136,svchost.exe,97,
0,2168,svchost.exe,72,
0,2356,svchost.exe,82,
0,2364,svchost.exe,77,
0,2372,svchost.exe,60,
0,2520,svchost.exe,74,
0,2616,svchost.exe,81,
0,2768,svchost.exe,82,
0,2812,svchost.exe,83,
0,2916,spoolsv.exe,130,
0,3012,svchost.exe,58,
0,2164,svchost.exe,115,
0,3188,svchost.exe,77,
0,3260,svchost.exe,196,
0,3268,svchost.exe,108,
0,3276,svchost.exe,168,
0,3332,svchost.exe,53,
0,3376,svchost.exe,109,
0,3400,svchost.exe,118,
0,3480,vmtoolsd.exe,169,
0,3488,VGAuthService.,92,
0,3528,vm3dservice.ex,71,
0,3556,MsMpEng.exe,2045,
0,3664,MpDefenderCore,128,
0,3828,svchost.exe,90,
0,3860,vm3dservice.ex,83,
0,4168,dllhost.exe,115,
0,4328,msdtc.exe,109,
0,4516,svchost.exe,89,
0,4836,svchost.exe,67,
0,4916,sihost.exe,176,
0,4316,svchost.exe,125,
0,4396,svchost.exe,54,
0,3464,svchost.exe,141,
0,4488,taskhostw.exe,209,
0,4668,MicrosoftEdgeU,110,
0,1272,WmiPrvSE.exe,146,
0,4972,svchost.exe,97,
0,4700,svchost.exe,134,
0,1384,svchost.exe,0,
0,5524,svchost.exe,123,
0,5760,userinit.exe,0,
0,5816,explorer.exe,607,
0,5836,AggregatorHost,69,
0,6136,ShellHost.exe,149,
0,1632,svchost.exe,81,
0,472,CrossDeviceRes,172,
0,6312,svchost.exe,76,
0,6428,svchost.exe,78,
0,6536,svchost.exe,106,
0,7004,svchost.exe,64,
0,7124,svchost.exe,85,
0,5164,SearchHost.exe,343,
0,6024,LockApp.exe,253,
0,6012,StartMenuExper,366,
0,7196,svchost.exe,112,
0,7496,RuntimeBroker.,159,
0,7568,svchost.exe,115,
0,7624,RuntimeBroker.,194,
0,7912,svchost.exe,73,
0,7968,SearchIndexer.,148,
0,2068,NisSrv.exe,73,
0,8920,msedgewebview2,295,
0,9012,msedgewebview2,73,
0,2976,ctfmon.exe,135,
0,7332,svchost.exe,93,
0,2748,msedgewebview2,124,
0,7180,msedgewebview2,139,
0,6860,msedgewebview2,76,
0,9464,msedgewebview2,183,
0,9528,SecurityHealth,137,
0,9832,ShellExperienc,225,
0,9964,RuntimeBroker.,111,
0,10044,SecurityHealth,80,
0,4732,vmtoolsd.exe,132,
0,4496,OneDrive.exe,348,
0,2380,svchost.exe,157,
0,6944,svchost.exe,85,
0,8132,svchost.exe,126,
0,1016,svchost.exe,88,
0,8436,svchost.exe,159,
0,7380,svchost.exe,102,
0,1288,svchost.exe,77,
0,3248,msedgewebview2,0,
0,7276,Taskmgr.exe,538,
0,5828,svchost.exe,151,
0,3880,svchost.exe,0,
0,6564,svchost.exe,56,
0,6412,OneDrive.Sync.,271,
0,9660,Widgets.exe,255,
0,4908,WidgetService.,130,
0,7472,msedgewebview2,359,
0,10016,msedgewebview2,78,
0,1532,RuntimeBroker.,96,
0,9200,msedgewebview2,130,
0,9652,msedgewebview2,188,
0,9296,msedgewebview2,79,
0,3100,msedgewebview2,211,
0,6800,svchost.exe,113,
0,5824,MoNotification,87,
0,2728,powershell.exe,249,
0,10540,conhost.exe,75,
0,7868,svchost.exe,68,
0,2996,go-winpmem_amd,73,
0,10784,conhost.exe,75,
0,7176,SearchProtocol,109,

