TreeDepth,PID,Process,VadNodeCount,Error
0,4,System,5,
0,124,Registry,84,
0,452,smss.exe,23,
0,636,csrss.exe,159,
0,716,csrss.exe,132,
0,748,wininit.exe,64,
0,788,winlogon.exe,93,
0,868,services.exe,51,
0,876,lsass.exe,157,
0,368,svchost.exe,164,
0,560,fontdrvhost.ex,47,
0,568,fontdrvhost.ex,48,
0,964,svchost.exe,87,
0,1040,svchost.exe,82,
0,1104,LogonUI.exe,0,
0,1112,dwm.exe,305,
0,1224,svchost.exe,152,
0,1296,svchost.exe,85,
0,1360,svchost.exe,54,
0,1368,svchost.exe,73,
0,1512,svchost.exe,82,
0,1540,svchost.exe,89,
0,1564,svchost.exe,69,
0,1624,svchost.exe,56,
0,1652,svchost.exe,119,
0,1700,svchost.exe,78,
0,1792,svchost.exe,53,
0,1836,svchost.exe,75,
0,1868,svchost.exe,55,
0,1876,svchost.exe,92,
0,1884,svchost.exe,71,
0,2012,svchost.exe,75,
0,2020,MemCompression,1862,
0,1308,svchost.exe,73,
0,1648,svchost.exe,72,
0,2136,svchost.exe,97,
0,2168,svchost.exe,72,
0,2356,svchost.exe,81,
0,2364,svchost.exe,78,
0,2372,svchost.exe,61,
0,2520,svchost.exe,74,
0,2616,svchost.exe,79,
0,2768,svchost.exe,83,
0,2812,svchost.exe,83,
0,2916,spoolsv.exe,130,
0,3012,svchost.exe,59,
0,2164,svchost.exe,115,
0,3188,svchost.exe,77,
0,3260,svchost.exe,195,
0,3268,svchost.exe,107,
0,3276,svchost.exe,128,
0,3332,svchost.exe,53,
0,3376,svchost.exe,112,
0,3400,svchost.exe,119,
0,3480,vmtoolsd.exe,167,
0,3488,VGAuthService.,92,
0,3528,vm3dservice.ex,71,
0,3556,MsMpEng.exe,2032,
0,3664,MpDefenderCore,128,
0,3828,svchost.exe,90,
0,3860,vm3dservice.ex,83,
0,4168,dllhost.exe,115,
0,4328,msdtc.exe,109,
0,4516,svchost.exe,89,
0,4836,svchost.exe,67,
0,4916,sihost.exe,176,
0,4316,svchost.exe,125,
0,4396,svchost.exe,54,
0,3464,svchost.exe,143,
0,4488,taskhostw.exe,212,
0,4668,MicrosoftEdgeU,110,
0,1272,WmiPrvSE.exe,144,
0,4972,svchost.exe,99,
0,4700,svchost.exe,132,
0,1384,svchost.exe,0,
0,5524,svchost.exe,122,
0,5760,userinit.exe,0,
0,5816,explorer.exe,608,
0,5836,AggregatorHost,68,
0,6136,ShellHost.exe,151,
0,1632,svchost.exe,80,
0,472,CrossDeviceRes,173,
0,6312,svchost.exe,77,
0,6428,svchost.exe,78,
0,6536,svchost.exe,104,
0,7004,svchost.exe,64,
0,7124,svchost.exe,84,
0,5164,SearchHost.exe,342,
0,6024,LockApp.exe,253,
0,6012,StartMenuExper,366,
0,7196,svchost.exe,112,
0,7496,RuntimeBroker.,160,
0,7568,svchost.exe,116,
0,7624,RuntimeBroker.,193,
0,7912,svchost.exe,74,
0,7968,SearchIndexer.,148,
0,2068,NisSrv.exe,72,
0,8920,msedgewebview2,295,
0,9012,msedgewebview2,73,
0,2976,ctfmon.exe,135,
0,7332,svchost.exe,96,
0,2748,msedgewebview2,123,
0,7180,msedgewebview2,139,
0,6860,msedgewebview2,76,
0,9464,msedgewebview2,180,
0,9528,SecurityHealth,134,
0,9832,ShellExperienc,225,
0,9964,RuntimeBroker.,109,
0,10044,SecurityHealth,80,
0,4732,vmtoolsd.exe,132,
0,4496,OneDrive.exe,348,
0,2380,svchost.exe,156,
0,6944,svchost.exe,84,
0,8132,svchost.exe,126,
0,1016,svchost.exe,94,
0,8436,svchost.exe,161,
0,7380,svchost.exe,102,
0,1288,svchost.exe,77,
0,3248,msedgewebview2,0,
0,7276,Taskmgr.exe,530,
0,5828,svchost.exe,150,
0,3880,svchost.exe,0,
0,6564,svchost.exe,56,
0,6412,OneDrive.Sync.,269,
0,9660,Widgets.exe,249,
0,4908,WidgetService.,130,
0,7472,msedgewebview2,316,
0,10016,msedgewebview2,78,
0,1532,RuntimeBroker.,95,
0,9200,msedgewebview2,131,
0,9652,msedgewebview2,1,
0,9296,msedgewebview2,79,
0,3100,msedgewebview2,159,
0,6800,svchost.exe,113,
0,5824,MoNotification,87,
0,8852,powershell.exe,247,
0,7840,conhost.exe,75,
0,5360,svchost.exe,66,
0,0,,0,
0,5212,conhost.exe,75,
0,2212,go-winpmem_amd,51,
0,6252,SearchProtocol,99,

